dataset,method,attention,loss,loss_name,seed,acc,macro_f1,qwk,mae,tau,gamma,label_smoothing,run_tag,source
KOA,ResNet50 + MESC VersionB,MESC,,,3,0.6959000000000001,0.7036,0.8416,0.3499,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed3.log
KOA,ResNet50 + MESC VersionB + DAST,MESC,DAST,,3,0.6776000000000001,0.6896,0.8436,0.3591,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed3.log
ADNI,ResNet50,,CE,ce,3,0.9351999999999999,0.9402,0.9295,0.0695,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed3.log
ADNI,ResNet50 + DAST,,DAST,dast,3,0.9273,0.8701,0.927,0.075,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed3.log
ADNI,ResNet50 + MESC VersionB,MESC,CE,ce,3,0.9883,0.992,0.9875,0.0125,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed3.log
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,3,0.9828,0.9863,0.9763,0.0203,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed3.log
KOA,ResNet50,,CE,,4,0.6598999999999999,0.6676,0.8094,0.405,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed4.log
KOA,ResNet50 + DAST,,DAST,,4,0.6769,0.6935,0.837,0.3676,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed4.log
KOA,ResNet50 + MESC VersionB,MESC,,,4,0.6809000000000001,0.6859,0.8265,0.3768,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed4.log
KOA,ResNet50 + MESC VersionB + DAST,MESC,DAST,,4,0.6801999999999999,0.6973,0.8476,0.3532,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed4.log
ADNI,ResNet50,,CE,ce,4,0.9359000000000001,0.9482,0.9266,0.0703,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed4.log
ADNI,ResNet50 + DAST,,DAST,dast,4,0.9297,0.9261,0.9232,0.0758,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed4.log
ADNI,ResNet50 + MESC VersionB,MESC,CE,ce,4,0.9828,0.9683,0.9829,0.018,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed4.log
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,4,0.9852,0.988,0.9869,0.0148,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed4.log
KOA,ResNet50,,CE,,5,0.6933,0.693,0.8328,0.3637,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed5.log
KOA,ResNet50 + DAST,,DAST,,5,0.6868000000000001,0.6925,0.8378,0.3637,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed5.log
KOA,ResNet50 + MESC VersionB,MESC,,,5,0.6992,0.7082,0.8403,0.3512,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed5.log
KOA,ResNet50 + MESC VersionB + DAST,MESC,DAST,,5,0.6723,0.6882,0.8365,0.3709,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed5.log
ADNI,ResNet50,,CE,ce,5,0.9344,0.9114,0.9192,0.0742,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed5.log
ADNI,ResNet50 + DAST,,DAST,dast,5,0.9273,0.9174,0.9273,0.075,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed5.log
ADNI,ResNet50 + MESC VersionB,MESC,CE,ce,5,0.9891,0.9924,0.9882,0.0117,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed5.log
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,5,0.9852,0.99,0.9869,0.0148,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed5.log
KOA,ResNet50,,CE,,6,0.6756,0.6573,0.7989,0.4069,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed6.log
KOA,ResNet50 + DAST,,DAST,,6,0.6690999999999999,0.6835,0.8212,0.3919,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed6.log
